FSA,lat_coord,lon_coord
M1J,43.7468,-79.2317
M1K,43.7296,-79.2631
M1L,43.7107,-79.2839
M1M,43.7244,-79.2313
M1N,43.6947,-79.265
M1P,43.7622,-79.2702
M1R,43.7488,-79.2988
M1S,43.7938,-79.2653
M1T,43.7813,-79.3034
M1V,43.8176,-79.2797
M1W,43.8014,-79.3215
M1X,43.8271,-79.2311
M2H,43.8016,-79.3576
M2J,43.7803,-79.3477
M2K,43.7795,-79.3809
M2L,43.7554,-79.3734
M2M,43.7914,-79.4104
M2N,43.7674,-79.411
M2P,43.7495,-79.398
M2R,43.7785,-79.4449
M3A,43.755,-79.3302
M3B,43.7424,-79.3596
M3C,43.7238,-79.3413
M3H,43.7529,-79.4469
M3J,43.7661,-79.4888
M3K,43.7403,-79.4703
M3L,43.7316,-79.5148
M3M,43.7297,-79.494
M3N,43.7571,-79.5204
M4A,43.728,-79.3151
M4B,43.7064,-79.3101
M4C,43.6913,-79.3113
M4E,43.6777,-79.2945
M4G,43.7123,-79.3659
M4H,43.7041,-79.3436
M4J,43.6874,-79.3365
M4K,43.6802,-79.3535
M4L,43.6703,-79.3167
M4M,43.6504,-79.3363
M4N,43.7303,-79.3936
